,T1,T2,Q1,time,run
0,21.543,22.349,100.0,1684955321.8484092,0.0
1,21.543,22.188,100.0,1684955323.2030327,0.0
2,21.543,22.316,100.0,1684955324.4225123,0.0
3,21.543,22.316,100.0,1684955325.6424053,0.0
4,21.543,22.316,100.0,1684955326.861494,0.0
5,21.543,22.413,100.0,1684955328.080689,0.0
6,21.865,22.413,100.0,1684955329.299898,0.0
7,21.865,22.381,100.0,1684955330.5194438,0.0
8,22.188,22.413,100.0,1684955331.7389076,0.0
9,22.188,22.381,100.0,1684955332.9580631,0.0
10,22.51,22.478,100.0,1684955334.177415,0.0
11,22.574,22.445,100.0,1684955335.3968484,0.0
12,22.832,22.284,100.0,1684955336.616572,0.0
13,23.154,22.316,100.0,1684955337.8357673,0.0
14,23.477,22.445,100.0,1684955339.0556502,0.0
15,23.799,22.413,100.0,1684955340.274379,0.0
16,24.121,22.51,100.0,1684955341.49417,0.0
17,24.443,22.51,100.0,1684955342.7132328,0.0
18,24.766,22.51,100.0,1684955343.932634,0.0
19,25.088,22.51,100.0,1684955345.1519876,0.0
20,25.41,22.51,100.0,1684955346.371014,0.0
21,25.829,22.51,100.0,1684955347.5903218,0.0
22,26.313,22.51,100.0,1684955348.8098855,0.0
23,26.699,22.51,100.0,1684955350.0291245,0.0
24,27.021,22.542,100.0,1684955351.2481375,0.0
25,27.344,22.606,100.0,1684955352.4674172,0.0
26,27.666,22.703,100.0,1684955353.68697,0.0
27,28.149,22.768,100.0,1684955354.9060009,0.0
28,28.633,22.832,100.0,1684955356.125187,0.0
29,28.955,22.8,100.0,1684955357.3445878,0.0
30,29.277,22.8,100.0,1684955358.5639317,0.0
31,29.89,22.832,100.0,1684955359.9191444,0.0
32,30.244,22.896,100.0,1684955361.1381853,0.0
33,30.566,23.09,100.0,1684955362.3576648,0.0
34,31.114,23.154,100.0,1684955363.5768447,0.0
35,31.501,23.122,100.0,1684955364.796195,0.0
36,31.855,23.122,100.0,1684955366.0159595,0.0
37,32.178,23.154,100.0,1684955367.2350476,0.0
38,32.564,23.348,100.0,1684955368.4550002,0.0
39,33.145,23.444,100.0,1684955369.675225,0.0
40,33.402,23.477,100.0,1684955370.8952115,0.0
41,33.789,23.509,100.0,1684955372.1154437,0.0
42,34.208,23.541,100.0,1684955373.335539,0.0
43,34.724,23.638,100.0,1684955374.5556653,0.0
44,35.078,23.831,100.0,1684955375.7758794,0.0
45,35.4,23.799,100.0,1684955376.995974,0.0
46,35.787,24.089,100.0,1684955378.2161727,0.0
47,36.271,24.024,100.0,1684955379.436599,0.0
48,36.625,24.153,100.0,1684955380.6569865,0.0
49,37.012,24.218,100.0,1684955381.876936,0.0
50,37.334,24.314,100.0,1684955383.0968494,0.0
